Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
9868081b7;2013-03-17;AUTHOR=Sijie Guo;MES=BOOKKEEPER-573: Script to start a bookkeeper cluster (ivank via sijie);4;0
f2bb5603f;2013-03-25;AUTHOR=Sijie Guo;MES=BOOKKEEPER-557: Compiler error showing up badly with jdk 7 (ivank via sijie);4;39
d1bb8ec0e;2013-03-25;AUTHOR=Sijie Guo;MES=BOOKKEEPER-583: Read from a ReadOnlyBookie fails if index fileinfo is not in ledger cache (vinay via sijie);4;2
6268be59c;2013-03-25;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-586: Remove recursive call in delivery manager (sijie via ivank);4;1
e14cbe41b;2013-03-25;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-506: Provide better topic release algorithm (sijie via ivank);4;12
455aabfd3;2013-03-25;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-581: Ledger recovery doesn't work correctly when recovery adds force changing ensembles. (sijie via ivank);4;4
feb077afa;2013-04-02;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-597: Add flag to output test logs to stdout (ivank);5;0
c8f9135e7;2013-04-02;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-595: Crash of inprocess autorecovery daemon should not take down the bookie (ivank);5;2
b11882370;2013-04-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-596: Ledgers are gc'ed by mistake in MSLedgerManagerFactory. (sijie & ivank);5;9
cdf138e24;2013-04-07;AUTHOR=Sijie Guo;MES=BOOKKEEPER-599: NPE in PerChannelBookieClient (jiannan via sijie);5;1
09ec928ee;2013-04-07;AUTHOR=Sijie Guo;MES=BOOKKEEPER-598: Fails to compile - RESUBSCRIBE_EXCEPTION conflict (Matthew Farrellee via sijie);5;0
685ca0796;2013-04-26;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-584: Data loss when ledger metadata is overwritten (sijie via ivank);5;5
d175ada58;2013-05-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-564: Better checkpoint mechanism (sijie & ivank);5;13
3a4f8920b;2013-05-06;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-562: Ability to tell if a ledger is closed or not (fpj);5;3
c2bb7ffb3;2013-05-09;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-608: Make SyncThread a reusable component (ivank);5;3
4c89310f8;2013-05-10;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-257: Ability to list all ledgers (fpj via ivank);5;2
ccc9545c4;2013-05-31;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-611: Speed up bookkeeper tests (ivank via fpj);5;7
cf2a858bb;2013-06-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-603: Support Boost 1.53 for Hedwig Cpp Client (jiannan via ivank);5;0
faf2ed877;2013-06-05;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-617: BOOKKEEPER-544 breaks hedwig-server/bin/hedwig script (ivank);5;0
1c04906c0;2013-06-12;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-592: allow application to recommend ledger data locality (sijie via ivank);5;23
0a208e101;2013-06-15;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-626: BOOKIE_EXTRA_OPTS are added twice (vinay via fpj);5;0
5ef7f760d;2013-06-15;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-627: LedgerDirsMonitor is missing thread name (rakesh via fpj);5;1
fce6d4592;2013-06-15;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-618: Better resolution of bookie address (ivank via fpj);5;15
a3de791cb;2013-06-21;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-619: Bookie should not create local cookie files if zookeeper is uninitialized (ivank);5;3
01cccee02;2013-06-21;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-313: Bookkeeper shutdown call from Bookie thread is not shutting down server (vinay via ivank);5;2
119e20343;2013-06-26;AUTHOR=Sijie Guo;MES=BOOKKEEPER-623: LedgerChecker should avoid segments of closed ledger with higher start entryId than closed entry. (vinay via sijie);5;2
0cd4be8fd;2013-06-26;AUTHOR=Sijie Guo;MES=BOOKKEEPER-633: ConcurrentModificationException in RackawareEnsemblePlacementPolicy when a bookie is removed from available list (vinay via sijie);5;2
bf3224adf;2013-06-28;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-620: PerChannelBookieClient race during channel disconnect (ivank);5;2
ad11d4144;2013-07-02;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-637: NoSuchEntry exception when reading an entry from a bookie should not print ERROR level message (mmerli via ivank);5;1
0d9708c65;2013-07-03;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-641: DeathWatcher thread is unnecessarily running even after bookie shutdown (rakeshr via ivank);5;1
ed3bb58f5;2013-07-04;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-636: Latest txn logs might be deleted in a race condition which is not recoverable if BK goes down before next txn log created. (vinay via ivank);5;3
0ce12e55e;2013-07-13;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-601: readahead cache size isn't updated correctly (sijie via fpj);5;1
53c208b09;2013-07-14;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-600: shouldClaim flag isn't cleared for hedwig multiplex java client (sijie via fpj);5;1
4d66c36cf;2013-07-20;AUTHOR=Sijie Guo;MES=BOOKKEEPER-563: Avoid Journal polluting page cache (Robin Dhamankar via sijie);5;5
f3731732c;2013-07-20;AUTHOR=Sijie Guo;MES=BOOKKEEPER-610: Make SyncThread use an executor (ivank via sijie);5;2
d9682edfc;2013-07-20;AUTHOR=Sijie Guo;MES=BOOKKEEPER-635: jenkins build should highlight which lines of the patch cause raw analysis errors (ivank via sijie);5;0
4a2c74012;2013-07-20;AUTHOR=Sijie Guo;MES=BOOKKEEPER-646: BookieShell readjournal command is throwing BufferUnderflowException (Rakesh via sijie);5;1
