Ticket ID;Date;Fixed Commits;Affected Versions
SYNCOPE-927;2016-08-31;1;1
SYNCOPE-921;2016-08-12;1;1
SYNCOPE-918;2016-08-08;1;1
SYNCOPE-916;2016-08-04;1;1
SYNCOPE-915;2016-08-04;1;1
SYNCOPE-912;2016-07-29;1;1
SYNCOPE-911;2016-07-29;2;1
SYNCOPE-908;2016-07-25;1;1
SYNCOPE-907;2016-07-25;1;1
SYNCOPE-905;2016-07-14;1;1
SYNCOPE-901;2016-07-08;1;3
SYNCOPE-900;2016-07-07;1;1
SYNCOPE-899;2016-07-07;1;1
SYNCOPE-898;2016-07-07;2;1
SYNCOPE-893;2016-07-05;1;1
SYNCOPE-892;2016-07-05;1;1
SYNCOPE-891;2016-06-30;1;1
SYNCOPE-888;2016-06-30;1;1
SYNCOPE-887;2016-06-30;1;1
SYNCOPE-886;2016-06-30;1;1
SYNCOPE-884;2016-06-28;2;1
SYNCOPE-883;2016-06-28;1;1
SYNCOPE-881;2016-06-27;1;1
SYNCOPE-879;2016-06-24;2;1
SYNCOPE-878;2016-06-24;1;1
SYNCOPE-872;2016-06-14;2;2
SYNCOPE-935;2016-09-07;1;1
SYNCOPE-934;2016-09-07;1;1
SYNCOPE-933;2016-09-07;1;1
SYNCOPE-931;2016-09-06;3;1
SYNCOPE-930;2016-09-02;1;2
SYNCOPE-738;2015-12-02;4;1
SYNCOPE-954;2016-10-04;0;1
SYNCOPE-943;2016-09-13;0;1
SYNCOPE-939;2016-09-12;0;1
SYNCOPE-936;2016-09-08;1;3
SYNCOPE-929;2016-09-02;1;3
SYNCOPE-928;2016-09-01;1;4
SYNCOPE-923;2016-08-23;1;3
SYNCOPE-876;2016-06-23;1;3
SYNCOPE-947;2016-09-19;1;1
SYNCOPE-973;2016-11-25;1;1
SYNCOPE-963;2016-11-04;0;1
SYNCOPE-1102;2017-05-31;0;5
SYNCOPE-1326;2018-06-22;1;3
SYNCOPE-1321;2018-06-11;1;2
SYNCOPE-1320;2018-06-01;1;2
SYNCOPE-1319;2018-05-29;1;2
SYNCOPE-1318;2018-05-29;4;2
SYNCOPE-1317;2018-05-27;0;2
SYNCOPE-1315;2018-05-22;2;2
SYNCOPE-1314;2018-05-22;1;2
SYNCOPE-1312;2018-05-15;1;2
SYNCOPE-1309;2018-05-11;1;2
SYNCOPE-1308;2018-05-03;1;2
SYNCOPE-1307;2018-04-26;1;2
SYNCOPE-1306;2018-04-24;1;2
SYNCOPE-1304;2018-04-23;1;2
SYNCOPE-1303;2018-04-23;2;1
SYNCOPE-1301;2018-04-12;1;2
SYNCOPE-1298;2018-04-10;1;2
SYNCOPE-1297;2018-04-09;1;2
SYNCOPE-1296;2018-04-06;1;2
SYNCOPE-1294;2018-04-04;1;3
SYNCOPE-1293;2018-04-04;1;3
SYNCOPE-1291;2018-04-03;1;2
SYNCOPE-1290;2018-04-02;0;2
SYNCOPE-1288;2018-03-29;1;1
SYNCOPE-1285;2018-03-22;1;2
SYNCOPE-1282;2018-03-15;1;2
SYNCOPE-1276;2018-02-13;1;2
SYNCOPE-1275;2018-02-12;1;2
SYNCOPE-1272;2018-02-09;1;2
SYNCOPE-1269;2018-02-06;1;2
SYNCOPE-1266;2018-01-30;2;2
SYNCOPE-1265;2018-01-29;1;2
SYNCOPE-1263;2018-01-22;2;2
SYNCOPE-1261;2018-01-04;1;2
SYNCOPE-1257;2017-12-28;1;2
SYNCOPE-1254;2017-12-20;1;1
SYNCOPE-1253;2017-12-18;1;2
SYNCOPE-1252;2017-12-18;1;2
SYNCOPE-1251;2017-12-14;1;2
SYNCOPE-1250;2017-12-13;2;2
SYNCOPE-1248;2017-12-11;1;2
SYNCOPE-1247;2017-12-07;1;2
SYNCOPE-1246;2017-12-07;1;2
SYNCOPE-1244;2017-12-03;2;2
SYNCOPE-1241;2017-12-01;1;2
SYNCOPE-1239;2017-11-25;1;2
SYNCOPE-1236;2017-11-15;2;2
SYNCOPE-1235;2017-11-15;2;2
SYNCOPE-1233;2017-11-09;1;2
SYNCOPE-1232;2017-11-02;1;2
SYNCOPE-1231;2017-10-31;1;2
SYNCOPE-1230;2017-10-31;1;2
SYNCOPE-1229;2017-10-31;1;2
SYNCOPE-1227;2017-10-27;1;2
SYNCOPE-1226;2017-10-24;1;2
SYNCOPE-1224;2017-10-16;2;2
SYNCOPE-1223;2017-10-12;1;2
SYNCOPE-1222;2017-10-11;1;2
SYNCOPE-1217;2017-10-04;1;2
SYNCOPE-1216;2017-10-02;1;6
SYNCOPE-1215;2017-09-27;1;2
SYNCOPE-1214;2017-09-27;1;2
SYNCOPE-1213;2017-09-26;3;2
SYNCOPE-1211;2017-09-20;1;3
SYNCOPE-1210;2017-09-20;1;4
SYNCOPE-1207;2017-09-12;2;2
SYNCOPE-1206;2017-09-08;1;2
SYNCOPE-1205;2017-09-08;1;2
SYNCOPE-1203;2017-09-04;1;1
SYNCOPE-1199;2017-08-17;1;3
SYNCOPE-1193;2017-08-10;1;2
SYNCOPE-1190;2017-08-07;4;2
SYNCOPE-1189;2017-08-07;1;2
SYNCOPE-1188;2017-08-07;1;2
SYNCOPE-1184;2017-08-02;0;2
SYNCOPE-1180;2017-07-28;2;2
SYNCOPE-1179;2017-07-28;1;2
SYNCOPE-1178;2017-07-28;1;1
SYNCOPE-1175;2017-07-27;1;2
SYNCOPE-1174;2017-07-27;2;2
SYNCOPE-1170;2017-07-20;1;1
SYNCOPE-1169;2017-07-19;0;2
SYNCOPE-1168;2017-07-18;1;2
SYNCOPE-1166;2017-07-17;1;2
SYNCOPE-1163;2017-07-14;1;2
SYNCOPE-1162;2017-07-13;1;2
SYNCOPE-1158;2017-07-12;1;2
SYNCOPE-1151;2017-07-10;2;2
SYNCOPE-1150;2017-07-10;1;2
SYNCOPE-1149;2017-07-05;3;2
SYNCOPE-1141;2017-07-04;2;2
SYNCOPE-1140;2017-07-03;1;2
SYNCOPE-1139;2017-07-03;1;2
SYNCOPE-1135;2017-06-28;1;2
SYNCOPE-1134;2017-06-28;1;2
SYNCOPE-1133;2017-06-28;1;2
SYNCOPE-1131;2017-06-27;1;2
SYNCOPE-1130;2017-06-27;1;2
SYNCOPE-1128;2017-06-27;1;5
SYNCOPE-1127;2017-06-27;0;2
SYNCOPE-1125;2017-06-26;2;2
SYNCOPE-1123;2017-06-23;2;2
SYNCOPE-1122;2017-06-23;0;2
SYNCOPE-1121;2017-06-23;1;2
SYNCOPE-1114;2017-06-21;1;2
SYNCOPE-1112;2017-06-19;2;2
SYNCOPE-1111;2017-06-16;1;2
SYNCOPE-1110;2017-06-15;2;2
SYNCOPE-1109;2017-06-13;1;2
SYNCOPE-1108;2017-06-13;1;2
SYNCOPE-1107;2017-06-12;1;2
SYNCOPE-1104;2017-06-06;1;2
SYNCOPE-1101;2017-05-31;1;1
SYNCOPE-1099;2017-05-26;1;2
SYNCOPE-1098;2017-05-25;1;2
SYNCOPE-1094;2017-05-24;1;2
SYNCOPE-1091;2017-05-24;1;2
SYNCOPE-1090;2017-05-24;1;2
SYNCOPE-1089;2017-05-22;1;2
SYNCOPE-1085;2017-05-19;1;2
SYNCOPE-1082;2017-05-16;2;2
SYNCOPE-1081;2017-05-12;3;1
SYNCOPE-1079;2017-05-09;1;2
SYNCOPE-1078;2017-05-09;1;1
SYNCOPE-1076;2017-05-08;1;2
SYNCOPE-1075;2017-05-05;1;2
SYNCOPE-1071;2017-04-26;1;2
